Sheet: Cost by Service Tier
Tier,Service,Scenarios Using It,Cost per Unit,Total
Free,IAM (Roles + Policies),"All (1-21)",$0.00,$0.00
Free,SSM Parameter Store (Standard),"3, 6, 8, 9, 18, 20, 21",$0.00,$0.00
Free,DynamoDB (On-Demand no traffic),"11, 19",$0.00,$0.00
Free,SQS FIFO (no traffic),13,$0.00,$0.00
Free,SNS (no messages),14,$0.00,$0.00
Free,CloudWatch Logs (minimal),15,$0.00,$0.00
Free,CloudFormation (stack),21,$0.00,$0.00
Free,SAML Provider,17,$0.00,$0.00
Free,Lambda (never invoked),"6, 7, 8, 19",$0.00,$0.00
Free,S3 (minimal storage <1MB),"1, 4, 6, 8",$0.00,$0.00
Free,Resource Groups Tagging API,18,$0.00,$0.00
Free,ECR Storage (~50MB),5,$0.01,$0.01
Paid,Secrets Manager ($0.40/secret/mo),"2 (x3), 6 (x1 optional), 8 (x1)",$0.40,$2.00
Paid,SSM Parameter Store (Advanced),3 (x1 kubeconfig >4KB),$0.05,$0.05
Paid,EC2 EBS (8GB gp3 stopped),4,$0.64,$0.64
Paid,KMS (Customer Managed Key),16,$1.00,$1.00
,,,,
,,,Grand Total,~$3.70/mo

Sheet: Cost by Scenario
#,Scenario Name,Services Used,Monthly Cost
1,Terraform State Lure,"IAM, S3",$0.00
2,Payment Credentials,"IAM, Secrets Manager (x3)",$1.20
3,Infrastructure Vault,"IAM, SSM (4 Standard + 1 Advanced)",$0.05
4,SSH Key - EC2 Bastion,"IAM, S3, EC2 (stopped), SG",$0.64
5,ECR Container Image,"IAM, ECR",$0.01
6,Lambda Blueprint,"IAM, Lambda, S3, SSM, SM (optional)",$0.00-$0.40
7,Lambda Code Injection,IAM (policy only if linked),$0.00
8,Lambda Role Chaining,"IAM, Lambda, S3, SM, SSM",$0.40
9,Role Chain Loop,"IAM (x3 roles), SSM (x3)",$0.00
11,Customer Data (Profiles + Sessions),"IAM, DynamoDB (x2)",$0.00
13,Payment Events DLQ,"IAM, SQS FIFO (x2)",$0.00
14,Critical Alerts,"IAM, SNS",$0.00
15,Leaked Logs,"IAM, CloudWatch Logs",$0.00
16,Encryption Key,"IAM, KMS",$1.00
17,Fake SSO (Okta SAML),"IAM, SAML Provider",$0.00
18,Tag Breadcrumbs,"IAM, SSM, Tags API",$0.00
19,Enriched User PII,"IAM, Lambda, DynamoDB",$0.00
20,SSM Chain,"IAM, SSM (x5)",$0.00
21,Stack Outputs,"IAM, CloudFormation, SSM",$0.00
,,Total,~$3.70/mo

Sheet: Monitoring Stack Cost (Minimal)
Component,Description,Monthly Cost,Notes
CloudTrail,Management events (already enabled),$0.00,Already running in your account - no additional cost
EventBridge,Rule matching lure role AssumeRole events,$0.00,Free tier covers this
SNS,Alert notification topic,$0.00,Free tier covers this
,,Total (monitoring),$0.00
,,Note: No additional CloudTrail cost if leveraging an already-established organization trail. EventBridge rules filter directly from existing trail events.,
,,,,
,,Combined Total (scenarios + monitoring),~$3.70/mo
